,Name ,NCBI Link ,Accession ID ,Paper Link 
DENV1,Reference ,https://www.ncbi.nlm.nih.gov/nuccore/9626685,NC_001477,https://pubmed.ncbi.nlm.nih.gov/38140548/
,New Caledonia-2017-AVS-NC-094,https://www.ncbi.nlm.nih.gov/nuccore/MW315194.1,MW315194.1,https://pubmed.ncbi.nlm.nih.gov/33686914/
,Xishuangbanna-Dai-2019,https://www.ncbi.nlm.nih.gov/nuccore/MW386867.1,MW386867.1,https://pubmed.ncbi.nlm.nih.gov/36059257/
,"Guangzhou, China - 2021 ",https://www.ncbi.nlm.nih.gov/nuccore/PQ357572.1,PQ357572.1,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.29635
DENV2,Reference ,https://www.ncbi.nlm.nih.gov/nuccore/158976983,NC_001474,https://pubmed.ncbi.nlm.nih.gov/9143286/
,Cosmopolitan-2019,https://www.ncbi.nlm.nih.gov/nuccore/MW512496.1,MW512496.1, https://www.nature.com/articles/s41598-021-92783-y
,Malaysia-2016,https://www.ncbi.nlm.nih.gov/nuccore/PQ465587.1,PQ465587.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8931567/
,Brazil-2021,https://www.ncbi.nlm.nih.gov/nuccore/PP546320.1,PP546320.1,https://pubmed.ncbi.nlm.nih.gov/38674713/
DENV3,Reference ,https://www.ncbi.nlm.nih.gov/nuccore/573974403,KF955462.1,https://pubmed.ncbi.nlm.nih.gov/2345967/
,Florida-USA-2022-aug8,https://www.ncbi.nlm.nih.gov/nuccore/OQ821613.1,OQ821613.1,https://pubmed.ncbi.nlm.nih.gov/38232709/
,DENV-3_V91A_Nicaragua_2013,https://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?id=MZ008477&report=fasta&format=text,MZ008477,"https://www.nature.com/articles/s41467-024-52819-z#:~:text=Dengue%20fever%20is%20the%20most,track%20lineages%20with%20resistance%20mutations."
,Senegal-2018-oct,https://www.ncbi.nlm.nih.gov/nuccore/MW288026.1,MW288026.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10610876/#app1-vaccines-11-01537
DENV4,Reference ,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004786575.1/,AF326573.1,https://pubmed.ncbi.nlm.nih.gov/11716091/
,Indonesia-2019-jun25,https://www.ncbi.nlm.nih.gov/nuccore/OL314742,OL314742,https://link.springer.com/article/10.1007/s11262-022-01942-4
,Paraguay-2020-jan17,https://www.ncbi.nlm.nih.gov/nuccore/OP811943,OP811943.1,https://www.mdpi.com/1999-4915/16/2/181
,Cambodia-2010-aug11,https://www.ncbi.nlm.nih.gov/nuccore/KF543272.1,KF543272.1,https://www.cell.com/cell-reports/fulltext/S2211-1247(22)00712-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2211124722007124%3Fshowall%3Dtrue#mmc1
,FrenchPolynesia-2009-jul22,https://www.ncbi.nlm.nih.gov/nuccore/JN832541.1,JN832541.1,Same article as above^
Vaccine strains,DENV1,https://www.ncbi.nlm.nih.gov/nuccore/353441785,AF425630.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC6816420/
,DENV2,https://www.ncbi.nlm.nih.gov/nuccore/ON398847.1,ON398847.1,Same article as above^
,DENV3,https://www.ncbi.nlm.nih.gov/nuccore/AF349753.1,AF349753.1,Same article as above^
,DENV4,https://www.ncbi.nlm.nih.gov/nuccore/353441785,JN022608.1,Same article as above^
